	from	to	value
1	G2	G1	1
2	G2	G3	1
3	G2	G5	1
4	G2	G6	1
5	G2	G7	1
6	G2	G9	1
7	G4	G1	1
8	G4	G3	1
9	G4	G5	1
10	G4	G6	1
11	G4	G7	1
12	G4	G9	1
13	G8	G1	1
14	G8	G3	1
15	G8	G5	1
16	G8	G6	1
17	G8	G7	1
18	G8	G9	1
19	G8	G10	1
20	G8	G11	1
21	G8	G12	1
22	G8	G13	1
23	G8	G14	1
24	G8	G15	1
25	G8	G16	1
26	G8	G17	1
27	G8	G18	1
28	G8	G19	1
29	G8	G20	1
30	G8	G21	1
31	G8	G22	1
32	G8	G23	1
33	G8	G24	1
34	G8	G25	1
35	G8	G26	1
36	G8	G27	1
37	G8	G28	1
38	G8	G29	1
39	G8	G30	1
40	G8	G31	1
41	G8	G32	1
42	G8	G33	1
43	G8	G35	1
44	G8	G36	1
45	G8	G37	1
46	G8	G38	1
47	G8	G39	1
48	G8	G40	1
49	G8	G41	1
50	G8	G43	1
51	G8	G44	1
52	G8	G45	1
53	G8	G46	1
54	G8	G47	1
55	G8	G49	1
56	G8	G50	1
57	G8	G51	1
58	G8	G79	1
59	G8	G80	1
60	G15	G14	1
61	G15	G16	1
62	G15	G17	1
63	G22	G21	1
64	G22	G23	1
65	G34	G29	1
66	G34	G33	1
67	G34	G35	1
68	G34	G36	1
69	G34	G37	1
70	G34	G38	1
71	G34	G39	1
72	G42	G32	1
73	G42	G41	1
74	G42	G43	1
75	G42	G44	1
76	G42	G45	1
77	G42	G46	1
78	G42	G47	1
79	G42	G49	1
80	G42	G50	1
81	G42	G51	1
82	G48	G45	1
83	G48	G46	1
84	G48	G47	1
85	G48	G49	1
86	G48	G50	1
87	G48	G51	1
88	G48	G53	1
89	G48	G55	1
90	G48	G56	1
91	G48	G57	1
92	G48	G58	1
93	G48	G59	1
94	G48	G61	1
95	G52	G45	1
96	G52	G46	1
97	G52	G47	1
98	G52	G49	1
99	G52	G50	1
100	G52	G51	1
101	G52	G53	1
102	G52	G55	1
103	G52	G56	1
104	G52	G57	1
105	G52	G58	1
106	G52	G59	1
107	G52	G61	1
108	G52	G62	1
109	G52	G63	1
110	G52	G64	1
111	G52	G65	1
112	G52	G66	1
113	G52	G68	1
114	G52	G69	1
115	G52	G71	1
116	G52	G72	1
117	G52	G73	1
118	G52	G74	1
119	G52	G75	1
120	G52	G76	1
121	G52	G77	1
122	G52	G78	1
123	G54	G20	1
124	G54	G28	1
125	G54	G31	1
126	G54	G45	1
127	G54	G46	1
128	G54	G47	1
129	G54	G49	1
130	G54	G50	1
131	G54	G51	1
132	G54	G53	1
133	G54	G55	1
134	G54	G56	1
135	G54	G57	1
136	G54	G58	1
137	G54	G59	1
138	G54	G61	1
139	G54	G62	1
140	G54	G63	1
141	G54	G64	1
142	G54	G65	1
143	G54	G66	1
144	G54	G68	1
145	G54	G69	1
146	G54	G71	1
147	G54	G72	1
148	G54	G73	1
149	G54	G74	1
150	G54	G75	1
151	G54	G76	1
152	G54	G77	1
153	G54	G78	1
154	G60	G53	1
155	G60	G54	1
156	G60	G55	1
157	G60	G56	1
158	G60	G57	1
159	G60	G58	1
160	G60	G59	1
161	G60	G61	1
162	G60	G62	1
163	G60	G63	1
164	G60	G64	1
165	G60	G65	1
166	G60	G66	1
167	G60	G68	1
168	G60	G69	1
169	G60	G71	1
170	G67	G53	1
171	G67	G55	1
172	G67	G56	1
173	G67	G57	1
174	G67	G58	1
175	G67	G59	1
176	G67	G61	1
177	G67	G62	1
178	G67	G63	1
179	G67	G64	1
180	G67	G65	1
181	G67	G66	1
182	G67	G68	1
183	G67	G69	1
184	G67	G71	1
185	G67	G72	1
186	G67	G73	1
187	G67	G74	1
188	G67	G75	1
189	G67	G76	1
190	G67	G77	1
191	G67	G78	1
192	G67	G79	1
193	G67	G80	1
194	G70	G53	1
195	G70	G55	1
196	G70	G56	1
197	G70	G57	1
198	G70	G58	1
199	G70	G59	1
200	G70	G61	1
201	G70	G62	1
202	G70	G63	1
203	G70	G64	1
204	G70	G65	1
205	G70	G66	1
206	G70	G68	1
207	G70	G69	1
208	G70	G71	1
209	G70	G72	1
210	G70	G73	1
211	G70	G74	1
212	G70	G75	1
213	G70	G76	1
214	G70	G77	1
215	G70	G78	1
216	G70	G79	1
217	G70	G80	1
218	G1	G2	0
219	G1	G3	0
220	G1	G4	0
221	G1	G5	0
222	G1	G6	0
223	G1	G7	0
224	G1	G8	0
225	G1	G9	0
226	G1	G10	0
227	G1	G11	0
228	G1	G12	0
229	G1	G13	0
230	G1	G14	0
231	G1	G15	0
232	G1	G16	0
233	G1	G17	0
234	G1	G18	0
235	G1	G19	0
236	G1	G20	0
237	G1	G21	0
238	G1	G22	0
239	G1	G23	0
240	G1	G24	0
241	G1	G25	0
242	G1	G26	0
243	G1	G27	0
244	G1	G28	0
245	G1	G29	0
246	G1	G30	0
247	G1	G31	0
248	G1	G32	0
249	G1	G33	0
250	G1	G34	0
251	G1	G35	0
252	G1	G36	0
253	G1	G37	0
254	G1	G38	0
255	G1	G39	0
